"";"age";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"41";41;204;148;170;215;206;209;211;202;205;206;159;177;148;158;160;147;132;122;136;134;103;116;131;116;131;111;111;123;108;107;105;87;95;100;95
"42";42;179;184;170;199;187;212;212;184;230;213;198;184;170;161;189;177;124;154;132;151;125;130;110;130;105;133;141;119;124;94;103;92;107;114;118
"43";43;222;209;197;192;229;222;204;231;243;225;222;219;193;212;187;196;171;172;160;180;118;143;151;138;125;140;145;146;140;134;125;110;113;108;120
"44";44;210;177;210;192;196;201;228;249;265;259;270;238;234;183;195;201;190;161;177;182;180;153;153;162;130;155;137;148;172;165;145;125;109;112;126
"45";45;232;221;212;204;231;196;220;238;295;256;263;290;243;224;222;201;204;205;174;193;198;176;163;174;179;146;159;166;175;185;122;174;145;132;136
"46";46;251;239;242;210;224;224;232;237;276;310;297;321;304;290;284;241;238;206;198;209;202;188;192;178;177;171;156;189;175;185;154;167;168;173;152
"47";47;278;257;237;246;233;240;320;262;276;274;318;323;302;292;281;256;250;219;239;224;209;229;192;221;190;197;185;190;174;195;187;195;204;197;153
"48";48;292;273;259;263;261;272;274;292;288;268;312;354;334;347;328;318;314;288;271;236;254;267;242;242;216;191;199;204;175;200;194;214;222;198;219
"49";49;290;300;294;263;262;269;303;313;291;258;341;338;354;352;363;363;302;269;270;289;278;300;241;246;260;233;227;210;205;203;228;206;214;210;234
"50";50;367;352;324;318;293;294;298;310;364;329;298;321;375;357;377;396;364;346;293;338;319;281;276;283;287;279;246;261;258;233;235;239;241;234;251
"51";51;404;375;321;333;315;340;330;349;313;333;311;314;362;383;426;412;441;384;377;364;330;360;312;310;341;291;278;307;283;270;265;273;250;256;286
"52";52;429;424;406;381;335;382;336;387;350;332;353;386;321;387;423;461;465;446;392;374;408;351;358;326;321;310;314;326;335;300;266;273;269;275;281
"53";53;463;438;460;462;420;363;359;366;393;389;389;385;428;345;399;484;469;474;443;441;431;420;374;345;338;363;352;361;322;344;326;258;277;295;291
"54";54;511;482;456;485;422;394;425;411;386;371;391;379;409;425;387;445;487;541;502;514;470;500;431;421;390;437;426;359;394;391;342;353;362;361;321
"55";55;567;537;512;521;494;510;470;461;455;442;380;407;422;462;457;408;478;516;564;538;559;513;498;507;462;431;429;382;390;413;373;369;389;368;329
"56";56;652;639;617;541;551;542;503;501;486;445;496;497;450;479;505;471;465;509;560;603;559;541;596;543;504;522;449;410;441;410;388;451;426;392;361
"57";57;681;679;708;589;630;576;515;552;540;514;509;515;531;479;518;528;504;440;518;602;658;665;590;610;603;602;563;491;463;470;467;464;447;415;401
"58";58;824;762;707;621;656;666;634;604;604;592;579;568;520;546;534;500;551;554;527;548;630;694;692;689;678;656;611;560;562;516;492;451;472;453;488
"59";59;951;825;839;748;738;761;708;697;647;610;642;635;575;559;562;532;539;573;595;550;655;717;765;673;725;656;638;666;623;605;550;555;492;499;509
"60";60;1037;982;893;913;821;821;793;757;710;693;709;695;614;638;560;610;587;621;608;621;593;670;768;753;768;803;761;731;655;653;632;600;558;596;561
"61";61;1195;1146;1043;960;893;902;858;849;820;756;736;738;729;686;667;634;641;683;619;674;686;638;746;756;853;859;842;766;795;715;730;668;639;606;598
"62";62;1061;1204;1208;1117;1038;1016;896;928;965;814;841;840;810;716;677;741;678;700;705;673;734;782;730;811;814;887;909;869;845;809;802;732;716;703;724
"63";63;1177;1099;1305;1232;1227;1070;1027;968;993;919;887;901;912;867;806;797;746;727;797;741;800;704;716;760;818;903;956;972;959;971;901;798;798;763;719
"64";64;1334;1262;1175;1377;1329;1279;1191;1167;1091;999;966;987;980;941;915;872;857;818;804;827;756;820;836;826;787;925;953;1032;1025;981;988;933;894;908;843
"65";65;1411;1426;1355;1260;1498;1515;1381;1286;1312;1127;1151;1117;1066;985;998;984;950;864;891;864;884;826;848;884;909;844;965;1084;1175;1136;1216;1082;1000;998;913
"66";66;1516;1491;1454;1487;1402;1626;1560;1493;1323;1320;1274;1215;1211;1145;1102;1026;1035;1055;979;902;911;917;900;966;941;1018;1012;1120;1110;1197;1233;1188;1149;1125;1062
"67";67;1723;1579;1538;1491;1446;1460;1786;1683;1573;1420;1363;1400;1365;1246;1125;1214;1111;1127;1072;1013;983;992;994;998;1001;1116;1050;998;1122;1140;1236;1266;1325;1270;1203
"68";68;1811;1872;1798;1676;1584;1768;1567;1713;1883;1602;1521;1524;1411;1459;1239;1270;1320;1129;1182;1113;1029;1027;1049;1044;1036;1051;1036;1135;1047;1136;1258;1295;1306;1342;1361
"69";69;2105;1987;2014;1864;1784;1761;1788;1596;1983;1858;1777;1617;1587;1588;1441;1391;1330;1286;1258;1283;1153;1199;1124;1153;1089;1139;1094;1133;1225;1068;1183;1325;1428;1515;1446
"70";70;2099;2242;2121;2039;1921;1918;1889;1788;1829;1970;1878;1896;1791;1660;1576;1569;1485;1401;1393;1347;1342;1275;1303;1186;1218;1196;1155;1203;1260;1268;1251;1353;1453;1484;1567
"71";71;2363;2303;2289;2101;2104;2073;2054;2036;2002;1781;2175;2143;2019;1861;1762;1697;1616;1554;1483;1463;1430;1397;1418;1342;1264;1273;1315;1246;1264;1294;1348;1289;1415;1529;1626
"72";72;2555;2615;2365;2414;2336;2335;2300;2185;2156;2016;2045;2271;2211;2094;1895;1847;1884;1812;1659;1690;1570;1587;1526;1570;1423;1283;1333;1308;1314;1352;1370;1428;1328;1515;1656
"73";73;2599;2671;2669;2499;2555;2498;2393;2392;2288;2190;2197;2046;2414;2499;2219;1989;1987;1941;1871;1818;1752;1671;1671;1602;1563;1480;1408;1427;1431;1424;1457;1517;1490;1410;1556
"74";74;2829;2823;2732;2693;2619;2730;2595;2644;2643;2328;2394;2326;2343;2612;2470;2324;2230;2205;2047;1966;1885;1778;1852;1740;1700;1646;1536;1508;1433;1587;1532;1548;1682;1668;1527
"75";75;2822;2940;2893;3006;2785;2871;2960;2817;2782;2656;2578;2531;2523;2357;2636;2833;2551;2369;2295;2190;2107;2026;1923;1898;1822;1849;1782;1563;1650;1647;1662;1615;1743;1761;1778
"76";76;2963;3014;2992;2995;3085;3103;2894;2937;3007;2782;2858;2673;2555;2579;2423;2805;2884;2692;2441;2514;2281;2199;2190;2043;1924;1935;1864;1858;1768;1689;1757;1721;1814;1821;1832
"77";77;3072;3015;3118;3091;3296;3219;3196;3069;3183;3024;3022;2949;2745;2876;2654;2602;3003;3036;2924;2593;2594;2413;2274;2284;2127;2142;2069;2018;1885;1865;1803;1896;1927;1982;1961
"78";78;3272;3131;3084;3201;3222;3470;3322;3350;3316;3293;3275;3257;3170;3134;2846;2935;2749;3139;3142;2986;2777;2723;2658;2512;2399;2307;2244;2217;2200;2069;2065;1937;2016;2012;2045
